package,version,package@version,exploitable,confirmed
fish,0.0.0,fish@0.0.0,True,True
nworker,0.2.2,nworker@0.2.2,False,False
mutagen,1.0.0,mutagen@1.0.0,False,False
ocelot,0.0.5,ocelot@0.0.5,False,False
spotify-node-applescript,1.1.1,spotify-node-applescript@1.1.1,True,True
crowd-client,0.0.2,crowd-client@0.0.2,True,True
nodeopen,0.0.5,nodeopen@0.0.5,True,True
redis-slim,1.0.2,redis-slim@1.0.2,True,True
@hotgarbage/ioreg,0.0.2,@hotgarbage/ioreg@0.0.2,False,False
orchestration-util-process,0.1.1,orchestration-util-process@0.1.1,True,False
ip2pwebos,0.0.1,ip2pwebos@0.0.1,False,False
the-first-commit,0.0.1,the-first-commit@0.0.1,False,False
robotois-wifi-config,1.0.1,robotois-wifi-config@1.0.1,True,True
runjs,4.4.2,runjs@4.4.2,True,True
pixl-tools,1.0.33,pixl-tools@1.0.33,True,True
yuque2book-md,0.0.1,yuque2book-md@0.0.1,True,True
node-vbox-ext2,0.1.10,node-vbox-ext2@0.1.10,True,True
sails-util,0.11.0,sails-util@0.11.0,True,True
@bast1oncz/minitest,1.0.6,@bast1oncz/minitest@1.0.6,True,True
macfromip,1.1.1,macfromip@1.1.1,True,True
systemd-interface,0.0.1,systemd-interface@0.0.1,True,True
get-video-info,1.0.0,get-video-info@1.0.0,False,False
smash-package-installer,0.0.1,smash-package-installer@0.0.1,True,True
ffmpeg-command,1.0.1,ffmpeg-command@1.0.1,False,False
pdf-html-extract,1.1.0,pdf-html-extract@1.1.0,True,False
@nibble-4bits/stockfish-native,0.3.0,@nibble-4bits/stockfish-native@0.3.0,False,False
nrequire,1.1.2,nrequire@1.1.2,True,True
weappdevtools-cli,1.1.0,weappdevtools-cli@1.1.0,True,False
underscore-template-pipe,1.0.0,underscore-template-pipe@1.0.0,True,False
@strive-cli/utils,1.3.5,@strive-cli/utils@1.3.5,True,False
npm-install-package,2.1.0,npm-install-package@2.1.0,True,True
node-lvm,4.0.2,node-lvm@4.0.2,False,False
wmic-get,1.0.1,wmic-get@1.0.1,True,True
gulp-gaegoapp,1.0.0,gulp-gaegoapp@1.0.0,True,False
npm-spawn,0.1.0,npm-spawn@0.1.0,True,False
@lihp-cli/utils,0.0.1,@lihp-cli/utils@0.0.1,True,False
texturepacker-command-line,0.0.5,texturepacker-command-line@0.0.5,True,True
indexof-property,1.1.1,indexof-property@1.1.1,True,False
@luban-code-factory/utils,1.0.3,@luban-code-factory/utils@1.0.3,True,False
ejs-alt,0.0.4,ejs-alt@0.0.4,True,False
git-work-flow,0.1.11,git-work-flow@0.1.11,True,False
windows-vpn-api,1.0.0,windows-vpn-api@1.0.0,False,False
@tuananhitoct/ffmpeg,0.0.4,@tuananhitoct/ffmpeg@0.0.4,False,False
@webpack-contrib/tag-versions,1.1.0,@webpack-contrib/tag-versions@1.1.0,True,True
ksc-fe-frame-cli,0.0.7,ksc-fe-frame-cli@0.0.7,False,False
nibbler-upstart,0.1.0,nibbler-upstart@0.1.0,True,False
croatia,1.0.3,croatia@1.0.3,True,False
amap-directive,1.0.1,amap-directive@1.0.1,True,False
envpm,1.2.1,envpm@1.2.1,False,False
nibbler-exec,0.1.0,nibbler-exec@0.1.0,True,True
snyk-mvn-plugin,2.3.0,snyk-mvn-plugin@2.3.0,True,False
git-ref,0.3.1,git-ref@0.3.1,False,False
ember-cli-svn-version,1.0.0,ember-cli-svn-version@1.0.0,True,False
fats-kernel,0.2.1,fats-kernel@0.2.1,True,False
cpu-mem-disk-info,1.0.2,cpu-mem-disk-info@1.0.2,True,True
child-ls-task,1.0.0,child-ls-task@1.0.0,True,True
logankoester-nixt,0.3.0,logankoester-nixt@0.3.0,True,False
sipua,0.0.1,sipua@0.0.1,True,False
chenj321-shell-util,1.0.0,chenj321-shell-util@1.0.0,True,True
nmcli-wrapper,0.7.0,nmcli-wrapper@0.7.0,True,True
@tamusjroyce/npm_deno,1.0.4,@tamusjroyce/npm_deno@1.0.4,False,False
cl-strings,0.0.5,cl-strings@0.0.5,True,False
executioner,2.0.1,executioner@2.0.1,True,True
node-ftl,0.1.1,node-ftl@0.1.1,False,False
json-shaper,1.2.0,json-shaper@1.2.0,True,False
@gis-js/geojson2shp,1.0.0-alpha.19,@gis-js/geojson2shp@1.0.0-alpha.19,True,True
decompress-archive,0.3.0,decompress-archive@0.3.0,False,False
@svkeg/spawn-cmd,0.0.1,@svkeg/spawn-cmd@0.0.1,True,False
xspawn,1.0.2,xspawn@1.0.2,True,True
sudo-js,1.0.2,sudo-js@1.0.2,False,False
@jim-cli-dev/utils,1.0.7,@jim-cli-dev/utils@1.0.7,True,False
@web-study/utils,1.1.6,@web-study/utils@1.1.6,True,False
dmg,0.1.0,dmg@0.1.0,True,True
foxyscript,1.0.0,foxyscript@1.0.0,True,True
rtsp2hls,1.0.6,rtsp2hls@1.0.6,False,False
atom-plugin-command-line,1.0.2,atom-plugin-command-line@1.0.2,True,True
execly,0.0.1,execly@0.0.1,True,False
jsmb-jsdoc,1.0.0,jsmb-jsdoc@1.0.0,True,True
styleme,2.5.4,styleme@2.5.4,False,False
ktwebservice,1.0.4,ktwebservice@1.0.4,True,True
daub,1.3.0,daub@1.3.0,False,False
reach-deep,0.1.4,reach-deep@0.1.4,False,False
@colonise/sevenzip,0.8.3,@colonise/sevenzip@0.8.3,True,False
closure-compiler,0.2.12,closure-compiler@0.2.12,False,False
node-jdbc-connection,0.0.3,node-jdbc-connection@0.0.3,False,False
ffmpeg-adanic,0.0.6,ffmpeg-adanic@0.0.6,False,False
object-path-operator,1.0.0,object-path-operator@1.0.0,True,True
@wickedev/react-electron-dev-utils,1.0.4,@wickedev/react-electron-dev-utils@1.0.4,False,False
git-revision-vite-plugin,0.0.9,git-revision-vite-plugin@0.0.9,True,True
node-apk-signature,0.1.2,node-apk-signature@0.1.2,False,False
@formanta/build-task.react-app,0.1.0,@formanta/build-task.react-app@0.1.0,False,False
shell-commands,0.3.0,shell-commands@0.3.0,True,True
get-video-info-url,1.0.0,get-video-info-url@1.0.0,True,True
festival,1.0.1,festival@1.0.1,True,True
kp,2.0.1,kp@2.0.1,True,True
tr-babel,1.0.2,tr-babel@1.0.2,True,True
@avh4/node-elm-compiler,0.16.0,@avh4/node-elm-compiler@0.16.0,True,False
@gsh-cli/utils,1.0.21,@gsh-cli/utils@1.0.21,True,False
subshell,0.0.0,subshell@0.0.0,False,False
pzip,0.0.2,pzip@0.0.2,True,False
remove-bg-node,1.0.3,remove-bg-node@1.0.3,True,True
miti-console,0.1.5,miti-console@0.1.5,True,True
node-uci-engine,1.3.0,node-uci-engine@1.3.0,False,False
mplayer-music-player,1.0.1,mplayer-music-player@1.0.1,True,False
